isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,1.98275775e-08,1.00000000e-09,9.99313451e-10,1.00000000e-09,1.12023189e-15,1.00000000e-09,-3.76558844e-16,1.00000000e-09,7.81958982e-19,1.00000000e-09,1.79578291e-16,1.00000000e-09,2.69087153e-16,1.00000000e-09,-3.28834358e-19,1.00000000e-09,1.37870439e-10,1.00000000e-09,9.76665732e-01,1.00000000e-09,3.55254305e-02,1.00000000e-09,6.86741974e-01,1.00000000e-09,6.86741974e-01,1.00000000e-09,7.25318646e+09,1.00000000e-09,1.76995296e+07,1.00000000e-09,2.81696762e+06,1.00000000e-09,1.98411995e+01,1.0,.500,sky130
1.50000000e-09,2.90787125e-08,1.50000000e-09,1.50449178e-09,1.50000000e-09,1.16616708e-15,1.50000000e-09,-4.44406311e-16,1.50000000e-09,9.29889282e-19,1.50000000e-09,2.10823544e-16,1.50000000e-09,3.15920167e-16,1.50000000e-09,-3.92569016e-19,1.50000000e-09,2.03105306e-10,1.50000000e-09,9.76605876e-01,1.50000000e-09,3.56412064e-02,1.50000000e-09,7.07504125e-01,1.50000000e-09,7.07504125e-01,1.50000000e-09,4.92355430e+09,1.50000000e-09,2.49352884e+07,1.50000000e-09,3.96857441e+06,1.50000000e-09,1.93279305e+01,1.0,.500,sky130
2.00000000e-09,3.83422151e-08,2.00000000e-09,2.01175973e-09,2.00000000e-09,1.20452090e-15,2.00000000e-09,-4.99593121e-16,2.00000000e-09,1.05055077e-18,2.00000000e-09,2.36092627e-16,2.00000000e-09,3.53796524e-16,2.00000000e-09,-4.44338325e-19,2.00000000e-09,2.67909214e-10,2.00000000e-09,9.76562521e-01,2.00000000e-09,3.57565681e-02,2.00000000e-09,7.22542417e-01,2.00000000e-09,7.22542416e-01,2.00000000e-09,3.73260772e+09,2.00000000e-09,3.18319219e+07,2.00000000e-09,5.06620771e+06,2.00000000e-09,1.90590429e+01,1.0,.500,sky130
2.50000000e-09,4.73553709e-08,2.50000000e-09,2.50508807e-09,2.50000000e-09,1.23677789e-15,2.50000000e-09,-5.45259428e-16,2.50000000e-09,1.15058916e-18,2.50000000e-09,2.56913037e-16,2.50000000e-09,3.85005218e-16,2.50000000e-09,-4.87115726e-19,2.50000000e-09,3.30494766e-10,2.50000000e-09,9.76529436e-01,2.50000000e-09,3.58679589e-02,2.50000000e-09,7.34018494e-01,2.50000000e-09,7.34018493e-01,2.50000000e-09,3.02576652e+09,2.50000000e-09,3.82893089e+07,2.50000000e-09,6.09393279e+06,2.50000000e-09,1.89036750e+01,1.0,.500,sky130
3.00000000e-09,5.64364352e-08,3.00000000e-09,3.00131077e-09,3.00000000e-09,1.26553921e-15,3.00000000e-09,-5.85519765e-16,3.00000000e-09,1.23891217e-18,3.00000000e-09,2.75206340e-16,3.00000000e-09,4.12426282e-16,3.00000000e-09,-5.24777493e-19,3.00000000e-09,3.93130259e-10,3.00000000e-09,9.76501990e-01,3.00000000e-09,3.59792450e-02,3.00000000e-09,7.43538785e-01,3.00000000e-09,7.43538785e-01,3.00000000e-09,2.54368616e+09,3.00000000e-09,4.45947741e+07,3.00000000e-09,7.09747873e+06,3.00000000e-09,1.88039292e+01,1.0,.500,sky130
3.50000000e-09,6.55905205e-08,3.50000000e-09,3.50043228e-09,3.50000000e-09,1.29158012e-15,3.50000000e-09,-6.21661396e-16,3.50000000e-09,1.31829077e-18,3.50000000e-09,2.91581194e-16,3.50000000e-09,4.36971926e-16,3.50000000e-09,-5.58541800e-19,3.50000000e-09,4.55881312e-10,3.50000000e-09,9.76478524e-01,3.50000000e-09,3.60904437e-02,3.50000000e-09,7.51678297e-01,3.50000000e-09,7.51678296e-01,3.50000000e-09,2.19355340e+09,3.50000000e-09,5.07831606e+07,3.50000000e-09,8.08239104e+06,3.50000000e-09,1.87378344e+01,1.0,.500,sky130
4.00000000e-09,7.47757117e-08,4.00000000e-09,4.00003475e-09,4.00000000e-09,1.31531924e-15,4.00000000e-09,-6.54386396e-16,4.00000000e-09,1.39023318e-18,4.00000000e-09,3.06371473e-16,4.00000000e-09,4.59142526e-16,4.00000000e-09,-5.89075683e-19,4.00000000e-09,5.18488244e-10,4.00000000e-09,9.76458113e-01,4.00000000e-09,3.62010331e-02,4.00000000e-09,7.58758084e-01,4.00000000e-09,7.58758083e-01,4.00000000e-09,1.92868404e+09,4.00000000e-09,5.68498579e+07,4.00000000e-09,9.04793589e+06,4.00000000e-09,1.86937655e+01,1.0,.500,sky130
4.50000000e-09,8.39866324e-08,4.50000000e-09,4.49976961e-09,4.50000000e-09,1.33714719e-15,4.50000000e-09,-6.84311709e-16,4.50000000e-09,1.45607273e-18,4.50000000e-09,3.19867177e-16,4.50000000e-09,4.79372725e-16,4.50000000e-09,-6.16963827e-19,4.50000000e-09,5.80939965e-10,4.50000000e-09,9.76440068e-01,4.50000000e-09,3.63109557e-02,4.50000000e-09,7.65017351e-01,4.50000000e-09,7.65017350e-01,4.50000000e-09,1.72134826e+09,4.50000000e-09,6.28103122e+07,4.50000000e-09,9.99657166e+06,4.50000000e-09,1.86646517e+01,1.0,.500,sky130
5.00000000e-09,9.32230206e-08,5.00000000e-09,4.99960323e-09,5.00000000e-09,1.35736726e-15,5.00000000e-09,-7.11905811e-16,5.00000000e-09,1.51682417e-18,5.00000000e-09,3.32287642e-16,5.00000000e-09,4.97991261e-16,5.00000000e-09,-6.42650058e-19,5.00000000e-09,6.43256412e-10,5.00000000e-09,9.76423902e-01,5.00000000e-09,3.64202220e-02,5.00000000e-09,7.70625007e-01,5.00000000e-09,7.70625006e-01,5.00000000e-09,1.55459002e+09,5.00000000e-09,6.86792905e+07,5.00000000e-09,1.09306486e+07,5.00000000e-09,1.86460838e+01,1.0,.500,sky130
5.50000000e-09,1.02484163e-07,5.50000000e-09,5.49949743e-09,5.50000000e-09,1.37621198e-15,5.50000000e-09,-7.37522883e-16,5.50000000e-09,1.57325572e-18,5.50000000e-09,3.43798294e-16,5.50000000e-09,5.15246081e-16,5.50000000e-09,-6.66469937e-19,5.50000000e-09,7.05451251e-10,5.50000000e-09,9.76409263e-01,5.50000000e-09,3.65288400e-02,5.50000000e-09,7.75702527e-01,5.50000000e-09,7.75702526e-01,5.50000000e-09,1.41753239e+09,5.50000000e-09,7.44682972e+07,5.50000000e-09,1.18519976e+07,5.50000000e-09,1.86351870e+01,1.0,.500,sky130
6.00000000e-09,1.11769326e-07,6.00000000e-09,5.99942461e-09,6.00000000e-09,1.39386465e-15,6.00000000e-09,-7.61438816e-16,6.00000000e-09,1.62596658e-18,6.00000000e-09,3.54527704e-16,6.00000000e-09,5.31329885e-16,6.00000000e-09,-6.88684821e-19,6.00000000e-09,7.67535504e-10,6.00000000e-09,9.76395893e-01,6.00000000e-09,3.66368189e-02,6.00000000e-09,7.80340339e-01,6.00000000e-09,7.80340337e-01,6.00000000e-09,1.30287133e+09,6.00000000e-09,8.01866420e+07,6.00000000e-09,1.27621004e+07,6.00000000e-09,1.86300075e+01,1.0,.500,sky130
6.50000000e-09,1.21077929e-07,6.50000000e-09,6.49937243e-09,6.50000000e-09,1.41047295e-15,6.50000000e-09,-7.83873630e-16,6.50000000e-09,1.67543517e-18,6.50000000e-09,3.64578187e-16,6.50000000e-09,5.46396031e-16,6.50000000e-09,-7.09503101e-19,6.50000000e-09,8.29519229e-10,6.50000000e-09,9.76383591e-01,6.50000000e-09,3.67441700e-02,6.50000000e-09,7.84607641e-01,6.50000000e-09,7.84607639e-01,6.50000000e-09,1.20551756e+09,6.50000000e-09,8.58420780e+07,6.50000000e-09,1.36621910e+07,6.50000000e-09,1.86291724e+01,1.0,.500,sky130
7.00000000e-09,1.30409443e-07,7.00000000e-09,6.99933528e-09,7.00000000e-09,1.42615775e-15,7.00000000e-09,-8.05005801e-16,7.00000000e-09,1.72204995e-18,7.00000000e-09,3.74032579e-16,7.00000000e-09,5.60568675e-16,7.00000000e-09,-7.29093780e-19,7.00000000e-09,8.91411189e-10,7.00000000e-09,9.76372200e-01,7.00000000e-09,3.68509054e-02,7.00000000e-09,7.88558537e-01,7.00000000e-09,7.88558535e-01,7.00000000e-09,1.12181675e+09,7.00000000e-09,9.14411068e+07,7.00000000e-09,1.45533041e+07,7.00000000e-09,1.86316897e+01,1.0,.500,sky130
7.50000000e-09,1.39763279e-07,7.50000000e-09,7.49930702e-09,7.50000000e-09,1.44101920e-15,7.50000000e-09,-8.24982139e-16,7.50000000e-09,1.76613078e-18,7.50000000e-09,3.82958901e-16,7.50000000e-09,5.73949773e-16,7.50000000e-09,-7.47595841e-19,7.50000000e-09,9.53218451e-10,7.50000000e-09,9.76361598e-01,7.50000000e-09,3.69570362e-02,7.50000000e-09,7.92236083e-01,7.50000000e-09,7.92236081e-01,7.50000000e-09,1.04907747e+09,7.50000000e-09,9.69891863e+07,7.50000000e-09,1.54363084e+07,7.50000000e-09,1.86368259e+01,1.0,.500,sky130
8.00000000e-09,1.49138894e-07,8.00000000e-09,7.99928521e-09,8.00000000e-09,1.45514147e-15,8.00000000e-09,-8.43925198e-16,8.00000000e-09,1.80794489e-18,8.00000000e-09,3.91413842e-16,8.00000000e-09,5.86624295e-16,8.00000000e-09,-7.65125273e-19,8.00000000e-09,1.01494728e-09,8.00000000e-09,9.76351684e-01,8.00000000e-09,3.70625737e-02,8.00000000e-09,7.95675140e-01,8.00000000e-09,7.95675138e-01,8.00000000e-09,9.85272855e+08,8.00000000e-09,1.02490992e+08,8.00000000e-09,1.63119481e+07,8.00000000e-09,1.86440275e+01,1.0,.500,sky130
8.50000000e-09,1.58535722e-07,8.50000000e-09,8.49926714e-09,8.50000000e-09,1.46859600e-15,8.50000000e-09,-8.61938361e-16,8.50000000e-09,1.84771788e-18,8.50000000e-09,3.99445151e-16,8.50000000e-09,5.98663809e-16,8.50000000e-09,-7.81779889e-19,8.50000000e-09,1.07660289e-09,8.50000000e-09,9.76342374e-01,8.50000000e-09,3.71675285e-02,8.50000000e-09,7.98904305e-01,8.50000000e-09,7.98904303e-01,8.50000000e-09,9.28847591e+08,8.50000000e-09,1.07950534e+08,8.50000000e-09,1.71808611e+07,8.50000000e-09,1.86528697e+01,1.0,.500,sky130
9.00000000e-09,1.67953265e-07,9.00000000e-09,8.99925381e-09,9.00000000e-09,1.48144406e-15,9.00000000e-09,-8.79109862e-16,9.00000000e-09,1.88564243e-18,9.00000000e-09,4.07093519e-16,9.00000000e-09,6.10129308e-16,9.00000000e-09,-7.97643142e-19,9.00000000e-09,1.13819017e-09,9.00000000e-09,9.76333601e-01,9.00000000e-09,3.72719117e-02,9.00000000e-09,8.01947352e-01,9.00000000e-09,8.01947350e-01,9.00000000e-09,8.78587805e+08,9.00000000e-09,1.13371318e+08,9.00000000e-09,1.80436057e+07,9.00000000e-09,1.86630213e+01,1.0,.500,sky130
9.50000000e-09,1.77390941e-07,9.50000000e-09,9.49924185e-09,9.50000000e-09,1.49373851e-15,9.50000000e-09,-8.95515440e-16,9.50000000e-09,1.92188404e-18,9.50000000e-09,4.14393830e-16,9.50000000e-09,6.21073080e-16,9.50000000e-09,-8.12786645e-19,9.50000000e-09,1.19971279e-09,9.50000000e-09,9.76325307e-01,9.50000000e-09,3.73757329e-02,9.50000000e-09,8.04824217e-01,9.50000000e-09,8.04824214e-01,9.50000000e-09,8.33532833e+08,9.50000000e-09,1.18756355e+08,9.50000000e-09,1.89006610e+07,9.50000000e-09,1.86742210e+01,1.0,.500,sky130
1.00000000e-08,1.86847526e-07,1.00000000e-08,9.99919381e-09,1.00000000e-08,1.50552459e-15,1.00000000e-08,-9.11219708e-16,1.00000000e-08,1.95658397e-18,1.00000000e-08,4.21375823e-16,1.00000000e-08,6.31539700e-16,1.00000000e-08,-8.27271498e-19,1.00000000e-08,1.26116971e-09,1.00000000e-08,9.76317444e-01,1.00000000e-08,3.74789942e-02,1.00000000e-08,8.07551621e-01,1.00000000e-08,8.07551618e-01,1.00000000e-08,7.92914700e+08,1.00000000e-08,1.24107921e+08,1.00000000e-08,1.97523891e+07,1.00000000e-08,1.86862591e+01,1.0,.500,sky130
1.50000000e-08,2.83735147e-07,1.50000000e-08,1.50688552e-08,1.50000000e-08,1.60363038e-15,1.50000000e-08,-1.04117055e-15,1.50000000e-08,2.24396584e-18,1.50000000e-08,4.78925403e-16,1.50000000e-08,7.17812767e-16,1.50000000e-08,-9.46690045e-19,1.50000000e-08,1.88145230e-09,1.50000000e-08,9.76254807e-01,1.50000000e-08,3.84969144e-02,1.50000000e-08,8.29278460e-01,1.50000000e-08,8.29278455e-01,1.50000000e-08,5.31504308e+08,1.50000000e-08,1.76933008e+08,1.50000000e-08,2.81597628e+07,1.50000000e-08,1.88292437e+01,1.0,.500,sky130
2.00000000e-08,3.82708928e-07,2.00000000e-08,2.01686781e-08,2.00000000e-08,1.67675306e-15,2.00000000e-08,-1.13727670e-15,2.00000000e-08,2.45671702e-18,2.00000000e-08,5.21240481e-16,2.00000000e-08,7.81248975e-16,2.00000000e-08,-1.03446782e-18,2.00000000e-08,2.50109202e-09,2.00000000e-08,9.76210633e-01,2.00000000e-08,3.94727972e-02,2.00000000e-08,8.44601276e-01,2.00000000e-08,8.44601270e-01,2.00000000e-08,3.99825353e+08,2.00000000e-08,2.28244061e+08,2.00000000e-08,3.63261706e+07,2.00000000e-08,1.89754096e+01,1.0,.500,sky130
2.50000000e-08,4.79064804e-07,2.50000000e-08,2.50780639e-08,2.50000000e-08,1.73268343e-15,2.50000000e-08,-1.21043160e-15,2.50000000e-08,2.61874066e-18,2.50000000e-08,5.53317178e-16,2.50000000e-08,8.29337137e-16,2.50000000e-08,-1.10095155e-18,2.50000000e-08,3.09415464e-09,2.50000000e-08,9.76177855e-01,2.50000000e-08,4.03726653e-02,2.50000000e-08,8.55970946e-01,2.50000000e-08,8.55970939e-01,2.50000000e-08,3.23190052e+08,2.50000000e-08,2.76487208e+08,2.50000000e-08,4.40043059e+07,2.50000000e-08,1.91029421e+01,1.0,.500,sky130
3.00000000e-08,5.76932727e-07,3.00000000e-08,3.00238242e-08,3.00000000e-08,1.77943963e-15,3.00000000e-08,-1.27138147e-15,3.00000000e-08,2.75376406e-18,3.00000000e-08,5.79957202e-16,3.00000000e-08,8.69275311e-16,3.00000000e-08,-1.15611036e-18,3.00000000e-08,3.68848652e-09,3.00000000e-08,9.76150943e-01,3.00000000e-08,4.12445993e-02,3.00000000e-08,8.65305929e-01,3.00000000e-08,8.65305921e-01,3.00000000e-08,2.71113910e+08,3.00000000e-08,3.24221579e+08,3.00000000e-08,5.16014670e+07,3.00000000e-08,1.92158308e+01,1.0,.500,sky130
3.50000000e-08,6.76252832e-07,3.50000000e-08,3.50128935e-08,3.50000000e-08,1.81960701e-15,3.50000000e-08,-1.32360783e-15,3.50000000e-08,2.86947251e-18,3.50000000e-08,6.02724106e-16,3.50000000e-08,9.03407321e-16,3.50000000e-08,-1.20319704e-18,3.50000000e-08,4.28499138e-09,3.50000000e-08,9.76128084e-01,3.50000000e-08,4.20927919e-02,3.50000000e-08,8.73234952e-01,3.50000000e-08,8.73234942e-01,3.50000000e-08,2.33372698e+08,3.50000000e-08,3.71647739e+08,3.50000000e-08,5.91495747e+07,3.50000000e-08,1.93143944e+01,1.0,.500,sky130
4.00000000e-08,7.76125728e-07,4.00000000e-08,4.00084654e-08,4.00000000e-08,1.85453948e-15,4.00000000e-08,-1.36893486e-15,4.00000000e-08,2.96989510e-18,4.00000000e-08,6.22438959e-16,4.00000000e-08,9.32963963e-16,4.00000000e-08,-1.24392426e-18,4.00000000e-08,4.87930942e-09,4.00000000e-08,9.76108345e-01,4.00000000e-08,4.29137079e-02,4.00000000e-08,8.80082045e-01,4.00000000e-08,8.80082034e-01,4.00000000e-08,2.04947035e+08,4.00000000e-08,4.18500515e+08,4.00000000e-08,6.66064256e+07,4.00000000e-08,1.93990377e+01,1.0,.500,sky130
4.50000000e-08,8.76305011e-07,4.50000000e-08,4.50053046e-08,4.50000000e-08,1.88536913e-15,4.50000000e-08,-1.40887148e-15,4.50000000e-08,3.05836946e-18,4.50000000e-08,6.39775358e-16,4.50000000e-08,9.58955005e-16,4.50000000e-08,-1.27969637e-18,4.50000000e-08,5.47086914e-09,4.50000000e-08,9.76090997e-01,4.50000000e-08,4.37091141e-02,4.50000000e-08,8.86099770e-01,4.50000000e-08,8.86099757e-01,4.50000000e-08,1.82786313e+08,4.50000000e-08,4.64792276e+08,4.50000000e-08,7.39739883e+07,4.50000000e-08,1.94711494e+01,1.0,.500,sky130
5.00000000e-08,9.76673179e-07,5.00000000e-08,5.00033562e-08,5.00000000e-08,1.91292244e-15,5.00000000e-08,-1.44451413e-15,5.00000000e-08,3.13732265e-18,5.00000000e-08,6.55221088e-16,5.00000000e-08,9.82111677e-16,5.00000000e-08,-1.31153044e-18,5.00000000e-08,6.05970719e-09,5.00000000e-08,9.76075525e-01,5.00000000e-08,4.44812739e-02,5.00000000e-08,8.91466325e-01,5.00000000e-08,8.91466311e-01,5.00000000e-08,1.65024475e+08,5.00000000e-08,5.10566009e+08,5.00000000e-08,8.12591042e+07,5.00000000e-08,1.95321525e+01,1.0,.500,sky130
5.50000000e-08,1.07712475e-06,5.50000000e-08,5.50021419e-08,5.50000000e-08,1.93779973e-15,5.50000000e-08,-1.47665683e-15,5.50000000e-08,3.20851323e-18,5.50000000e-08,6.69128628e-16,5.50000000e-08,1.00296238e-15,5.50000000e-08,-1.34016159e-18,5.50000000e-08,6.64580506e-09,5.50000000e-08,9.76061567e-01,5.50000000e-08,4.52320682e-02,5.50000000e-08,8.96308112e-01,5.50000000e-08,8.96308096e-01,5.50000000e-08,1.50470860e+08,5.50000000e-08,5.55849362e+08,5.50000000e-08,8.84661736e+07,5.50000000e-08,1.95833237e+01,1.0,.500,sky130
6.00000000e-08,1.17757378e-06,6.00000000e-08,6.00013402e-08,6.00000000e-08,1.96045265e-15,6.00000000e-08,-1.50589542e-15,6.00000000e-08,3.27326138e-18,6.00000000e-08,6.81761936e-16,6.00000000e-08,1.02190281e-15,6.00000000e-08,-1.36614039e-18,6.00000000e-08,7.22916135e-09,6.00000000e-08,9.76048853e-01,6.00000000e-08,4.59631480e-02,6.00000000e-08,9.00718364e-01,6.00000000e-08,9.00718346e-01,6.00000000e-08,1.38328632e+08,6.00000000e-08,6.00664228e+08,6.00000000e-08,9.55986809e+07,6.00000000e-08,1.96257912e+01,1.0,.500,sky130
6.50000000e-08,1.27795085e-06,6.50000000e-08,6.50007921e-08,6.50000000e-08,1.98122947e-15,6.50000000e-08,-1.53268831e-15,6.50000000e-08,3.33258323e-18,6.50000000e-08,6.93323741e-16,6.50000000e-08,1.03923688e-15,6.50000000e-08,-1.38988966e-18,6.50000000e-08,7.80979359e-09,6.50000000e-08,9.76037179e-01,6.50000000e-08,4.66759771e-02,6.50000000e-08,9.04767805e-01,6.50000000e-08,9.04767786e-01,6.50000000e-08,1.28044357e+08,6.50000000e-08,6.45029197e+08,6.50000000e-08,1.02659585e+08,6.50000000e-08,1.96605427e+01,1.0,.500,sky130
7.00000000e-08,1.37819868e-06,7.00000000e-08,7.00004040e-08,7.00000000e-08,2.00040401e-15,7.00000000e-08,-1.55739525e-15,7.00000000e-08,3.38727636e-18,7.00000000e-08,7.03972867e-16,7.00000000e-08,1.05520270e-15,7.00000000e-08,-1.41174064e-18,7.00000000e-08,8.38772729e-09,7.00000000e-08,9.76026387e-01,7.00000000e-08,4.73718520e-02,7.00000000e-08,9.08511284e-01,7.00000000e-08,9.08511263e-01,7.00000000e-08,1.19221806e+08,7.00000000e-08,6.88960167e+08,7.00000000e-08,1.09651416e+08,7.00000000e-08,1.96884389e+01,1.0,.500,sky130
7.50000000e-08,1.47826963e-06,7.50000000e-08,7.50001221e-08,7.50000000e-08,2.01819527e-15,7.50000000e-08,-1.58030346e-15,7.50000000e-08,3.43797775e-18,7.50000000e-08,7.13835946e-16,7.50000000e-08,1.06999009e-15,7.50000000e-08,-1.43195739e-18,7.50000000e-08,8.96299314e-09,7.50000000e-08,9.76016352e-01,7.50000000e-08,4.80519255e-02,7.50000000e-08,9.11992161e-01,7.50000000e-08,9.11992139e-01,7.50000000e-08,1.11569872e+08,7.50000000e-08,7.32471060e+08,7.50000000e-08,1.16576390e+08,7.50000000e-08,1.97102297e+01,1.0,.500,sky130
8.00000000e-08,1.57812383e-06,8.00000000e-08,7.99999129e-08,8.00000000e-08,2.03478102e-15,8.00000000e-08,-1.60164574e-15,8.00000000e-08,3.48520381e-18,8.00000000e-08,7.23015479e-16,8.00000000e-08,1.08375272e-15,8.00000000e-08,-1.45075361e-18,8.00000000e-08,9.53562468e-09,8.00000000e-08,9.76006974e-01,8.00000000e-08,4.87172271e-02,8.00000000e-08,9.15245287e-01,8.00000000e-08,9.15245263e-01,8.00000000e-08,1.04869899e+08,8.00000000e-08,7.75574282e+08,8.00000000e-08,1.23436481e+08,8.00000000e-08,1.97265694e+01,1.0,.500,sky130
8.50000000e-08,1.67772773e-06,8.50000000e-08,8.49997542e-08,8.50000000e-08,2.05030743e-15,8.50000000e-08,-1.62161326e-15,8.50000000e-08,3.52937868e-18,8.50000000e-08,7.31595536e-16,8.50000000e-08,1.09661662e-15,8.50000000e-08,-1.46830456e-18,8.50000000e-08,1.01056571e-08,8.50000000e-08,9.75998170e-01,8.50000000e-08,4.93686796e-02,8.50000000e-08,9.18299076e-01,8.50000000e-08,9.18299052e-01,8.50000000e-08,9.89544759e+07,8.50000000e-08,8.18281055e+08,8.50000000e-08,1.30233475e+08,8.50000000e-08,1.97380304e+01,1.0,.500,sky130
9.00000000e-08,1.77705304e-06,9.00000000e-08,8.99996309e-08,9.00000000e-08,2.06489609e-15,9.00000000e-08,-1.64036487e-15,9.00000000e-08,3.57085478e-18,9.00000000e-08,7.39645889e-16,9.00000000e-08,1.10868640e-15,9.00000000e-08,-1.48475563e-18,9.00000000e-08,1.06731266e-08,9.00000000e-08,9.75989874e-01,9.00000000e-08,5.00071137e-02,9.00000000e-08,9.21176992e-01,9.00000000e-08,9.21176966e-01,9.00000000e-08,9.36932576e+07,9.00000000e-08,8.60601678e+08,9.00000000e-08,1.36969011e+08,9.00000000e-08,1.97451147e+01,1.0,.500,sky130
9.50000000e-08,1.87607591e-06,9.50000000e-08,9.49995344e-08,9.50000000e-08,2.07864917e-15,9.50000000e-08,-1.65803390e-15,9.50000000e-08,3.60992800e-18,9.50000000e-08,7.47225046e-16,9.50000000e-08,1.12004976e-15,9.50000000e-08,-1.50022874e-18,9.50000000e-08,1.12380703e-08,9.50000000e-08,9.75982028e-01,9.50000000e-08,5.06332809e-02,9.50000000e-08,9.23898626e-01,9.50000000e-08,9.23898599e-01,9.50000000e-08,8.89832485e+07,9.50000000e-08,9.02545719e+08,9.50000000e-08,1.43644613e+08,9.50000000e-08,1.97482642e+01,1.0,.500,sky130
1.00000000e-07,1.97477193e-06,1.00000000e-07,9.99992428e-08,1.00000000e-07,2.09165277e-15,1.00000000e-07,-1.67473260e-15,1.00000000e-07,3.64684750e-18,1.00000000e-07,7.54382226e-16,1.00000000e-07,1.13078049e-15,1.00000000e-07,-1.51482643e-18,1.00000000e-07,1.18005012e-08,1.00000000e-07,9.75974585e-01,1.00000000e-07,5.12478368e-02,1.00000000e-07,9.26480391e-01,1.00000000e-07,9.26480362e-01,1.00000000e-07,8.47421634e+07,1.00000000e-07,9.44120347e+08,1.00000000e-07,1.50261420e+08,1.00000000e-07,1.97478689e+01,1.0,.500,sky130
1.50000000e-07,2.95276039e-06,1.50000000e-07,1.50601410e-07,1.50000000e-07,2.19384021e-15,1.50000000e-07,-1.80572584e-15,1.50000000e-07,3.93613704e-18,1.50000000e-07,8.10329705e-16,1.50000000e-07,1.21466363e-15,1.50000000e-07,-1.62840891e-18,1.50000000e-07,1.73610870e-08,1.50000000e-07,9.75915015e-01,1.50000000e-07,5.69336630e-02,1.50000000e-07,9.47144540e-01,1.50000000e-07,9.47144497e-01,1.50000000e-07,5.76000800e+07,1.50000000e-07,1.34593230e+09,1.50000000e-07,2.14211779e+08,1.50000000e-07,1.96064591e+01,1.0,.500,sky130
2.00000000e-07,3.89092444e-06,2.00000000e-07,2.01292216e-07,2.00000000e-07,2.26441138e-15,2.00000000e-07,-1.89597973e-15,2.00000000e-07,4.13502199e-18,2.00000000e-07,8.48667122e-16,2.00000000e-07,1.27214512e-15,2.00000000e-07,-1.70559870e-18,2.00000000e-07,2.27154249e-08,2.00000000e-07,9.75872334e-01,2.00000000e-07,6.19071922e-02,2.00000000e-07,9.61950190e-01,2.00000000e-07,9.61950132e-01,2.00000000e-07,4.40229493e+07,2.00000000e-07,1.71829398e+09,2.00000000e-07,2.73474981e+08,2.00000000e-07,1.93297313e+01,1.0,.500,sky130
2.50000000e-07,4.76227247e-06,2.50000000e-07,2.50515182e-07,2.50000000e-07,2.31662573e-15,2.50000000e-07,-1.96266470e-15,2.50000000e-07,4.28166928e-18,2.50000000e-07,8.76876958e-16,2.50000000e-07,1.31444259e-15,2.50000000e-07,-1.76198844e-18,2.50000000e-07,2.77362466e-08,2.50000000e-07,9.75839642e-01,2.50000000e-07,6.62548132e-02,2.50000000e-07,9.73291203e-01,2.50000000e-07,9.73291131e-01,2.50000000e-07,3.60539050e+07,2.50000000e-07,2.05569351e+09,2.50000000e-07,3.27173783e+08,2.50000000e-07,1.90099156e+01,1.0,.500,sky130
3.00000000e-07,5.60375251e-06,3.00000000e-07,3.00154254e-07,3.00000000e-07,2.35915209e-15,3.00000000e-07,-2.01692766e-15,3.00000000e-07,4.40076967e-18,3.00000000e-07,8.99755237e-16,3.00000000e-07,1.34874658e-15,3.00000000e-07,-1.80742381e-18,3.00000000e-07,3.26440156e-08,3.00000000e-07,9.75812150e-01,3.00000000e-07,7.02786951e-02,3.00000000e-07,9.82828481e-01,3.00000000e-07,9.82828394e-01,3.00000000e-07,3.06334862e+07,3.00000000e-07,2.37532482e+09,3.00000000e-07,3.78044686e+08,3.00000000e-07,1.86695755e+01,1.0,.500,sky130
3.50000000e-07,6.41525706e-06,3.50000000e-07,3.50082904e-07,3.50000000e-07,2.39492719e-15,3.50000000e-07,-2.06254720e-15,3.50000000e-07,4.50071302e-18,3.50000000e-07,9.18933414e-16,3.50000000e-07,1.37750303e-15,3.50000000e-07,-1.84527885e-18,3.50000000e-07,3.74412707e-08,3.50000000e-07,9.75788315e-01,3.50000000e-07,7.40386732e-02,3.50000000e-07,9.91097341e-01,3.50000000e-07,9.91097240e-01,3.50000000e-07,2.67084952e+07,3.50000000e-07,2.67868563e+09,3.50000000e-07,4.26326059e+08,3.50000000e-07,1.83249653e+01,1.0,.500,sky130
4.00000000e-07,7.19519071e-06,4.00000000e-07,4.00051062e-07,4.00000000e-07,2.42564713e-15,4.00000000e-07,-2.10170286e-15,4.00000000e-07,4.58634146e-18,4.00000000e-07,9.35351577e-16,4.00000000e-07,1.40212137e-15,4.00000000e-07,-1.87749887e-18,4.00000000e-07,4.21177898e-08,4.00000000e-07,9.75767258e-01,4.00000000e-07,7.75670984e-02,4.00000000e-07,9.98402540e-01,4.00000000e-07,9.98402424e-01,4.00000000e-07,2.37429363e+07,4.00000000e-07,2.96629737e+09,4.00000000e-07,4.72100889e+08,4.00000000e-07,1.79856808e+01,1.0,.500,sky130
