isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,3.25118753e-08,1.00000000e-09,9.99591583e-10,1.00000000e-09,2.95064370e-16,1.00000000e-09,-5.87944936e-17,1.00000000e-09,5.22828400e-19,1.00000000e-09,3.44460890e-17,1.00000000e-09,5.15554943e-17,1.00000000e-09,-2.71023326e-19,1.00000000e-09,2.11141584e-09,1.00000000e-09,7.48732998e-01,1.00000000e-09,3.54885533e-02,1.00000000e-09,4.10170678e-01,1.00000000e-09,4.10170678e-01,1.00000000e-09,4.73615846e+08,1.00000000e-09,1.10185704e+08,1.00000000e-09,1.75365994e+07,1.00000000e-09,3.25251591e+01,0.840,0.150,sky130
1.25000000e-09,4.05787764e-08,1.25000000e-09,1.25001290e-09,1.25000000e-09,2.97523017e-16,1.25000000e-09,-6.23560201e-17,1.25000000e-09,5.44277840e-19,1.25000000e-09,3.63810714e-17,1.25000000e-09,5.44538212e-17,1.25000000e-09,-2.81502494e-19,1.25000000e-09,2.60254271e-09,1.25000000e-09,7.48732843e-01,1.25000000e-09,3.54896597e-02,1.25000000e-09,4.16633612e-01,1.25000000e-09,4.16633612e-01,1.25000000e-09,3.84239612e+08,1.25000000e-09,1.36388697e+08,1.25000000e-09,2.17069352e+07,1.25000000e-09,3.24626862e+01,0.840,0.150,sky130
1.50000000e-09,4.86369450e-08,1.50000000e-09,1.50080066e-09,1.50000000e-09,2.99661679e-16,1.50000000e-09,-6.54157485e-17,1.50000000e-09,5.62138710e-19,1.50000000e-09,3.80347792e-17,1.50000000e-09,5.69309041e-17,1.50000000e-09,-2.90140950e-19,1.50000000e-09,3.08803507e-09,1.50000000e-09,7.48732716e-01,1.50000000e-09,3.54907564e-02,1.50000000e-09,4.21932679e-01,1.50000000e-09,4.21932679e-01,1.50000000e-09,3.23830519e+08,1.50000000e-09,1.62306188e+08,1.50000000e-09,2.58318322e+07,1.50000000e-09,3.24073318e+01,0.840,0.150,sky130
1.75000000e-09,5.66352370e-08,1.75000000e-09,1.75029422e-09,1.75000000e-09,3.01552383e-16,1.75000000e-09,-6.80948140e-17,1.75000000e-09,5.77365117e-19,1.75000000e-09,3.94765245e-17,1.75000000e-09,5.90905354e-17,1.75000000e-09,-2.97442537e-19,1.75000000e-09,3.56583540e-09,1.75000000e-09,7.48732609e-01,1.75000000e-09,3.54918382e-02,1.75000000e-09,4.26399270e-01,1.75000000e-09,4.26399269e-01,1.75000000e-09,2.80439193e+08,1.75000000e-09,1.87812268e+08,1.75000000e-09,2.98912509e+07,1.75000000e-09,3.23575524e+01,0.840,0.150,sky130
2.00000000e-09,6.46228319e-08,2.00000000e-09,1.99997411e-09,2.00000000e-09,3.03261637e-16,2.00000000e-09,-7.04980403e-17,2.00000000e-09,5.90707232e-19,2.00000000e-09,4.07650975e-17,2.00000000e-09,6.10207603e-17,2.00000000e-09,-3.03793001e-19,2.00000000e-09,4.03960022e-09,2.00000000e-09,7.48732517e-01,2.00000000e-09,3.54929131e-02,2.00000000e-09,4.30279859e-01,2.00000000e-09,4.30279858e-01,2.00000000e-09,2.47549249e+08,2.00000000e-09,2.13092670e+08,2.00000000e-09,3.39147518e+07,2.00000000e-09,3.23118342e+01,0.840,0.150,sky130
2.25000000e-09,7.26006716e-08,2.25000000e-09,2.24983139e-09,2.25000000e-09,3.04825602e-16,2.25000000e-09,-7.26828018e-17,2.25000000e-09,6.02584128e-19,2.25000000e-09,4.19327985e-17,2.25000000e-09,6.27699515e-17,2.25000000e-09,-3.09408546e-19,2.25000000e-09,4.50988587e-09,2.25000000e-09,7.48732435e-01,2.25000000e-09,3.54939820e-02,2.25000000e-09,4.33711664e-01,2.25000000e-09,4.33711663e-01,2.25000000e-09,2.21735101e+08,2.25000000e-09,2.38171175e+08,2.25000000e-09,3.79061197e+07,2.25000000e-09,3.22693834e+01,0.840,0.150,sky130
2.50000000e-09,8.05659642e-08,2.50000000e-09,2.49974688e-09,2.50000000e-09,3.06269572e-16,2.50000000e-09,-7.46888432e-17,2.50000000e-09,6.13283075e-19,2.50000000e-09,4.30019500e-17,2.50000000e-09,6.43715398e-17,2.50000000e-09,-3.14436712e-19,2.50000000e-09,4.97691226e-09,2.50000000e-09,7.48732361e-01,2.50000000e-09,3.54950453e-02,2.50000000e-09,4.36787349e-01,2.50000000e-09,4.36787348e-01,2.50000000e-09,2.00927794e+08,2.50000000e-09,2.63055724e+08,2.50000000e-09,4.18666188e+07,2.50000000e-09,3.22296488e+01,0.840,0.150,sky130
2.75000000e-09,8.85186814e-08,2.75000000e-09,2.74969277e-09,2.75000000e-09,3.07612839e-16,2.75000000e-09,-7.65460799e-17,2.75000000e-09,6.23016123e-19,2.75000000e-09,4.39892865e-17,2.75000000e-09,6.58505873e-17,2.75000000e-09,-3.18985711e-19,2.75000000e-09,5.44098255e-09,2.75000000e-09,7.48732294e-01,2.75000000e-09,3.54961034e-02,2.75000000e-09,4.39574224e-01,2.75000000e-09,4.39574223e-01,2.75000000e-09,1.83790334e+08,2.75000000e-09,2.87760035e+08,2.75000000e-09,4.57984320e+07,2.75000000e-09,3.21922079e+01,0.840,0.150,sky130
3.00000000e-09,9.64591490e-08,3.00000000e-09,2.99965622e-09,3.00000000e-09,3.08870247e-16,3.00000000e-09,-7.82773128e-17,3.00000000e-09,6.31942606e-19,3.00000000e-09,4.49075249e-17,3.00000000e-09,6.72261400e-17,3.00000000e-09,-3.23136451e-19,3.00000000e-09,5.90236209e-09,3.00000000e-09,7.48732233e-01,3.00000000e-09,3.54971568e-02,3.00000000e-09,4.42122223e-01,3.00000000e-09,4.42122222e-01,3.00000000e-09,1.69423696e+08,3.00000000e-09,3.12296668e+08,3.00000000e-09,4.97035584e+07,3.00000000e-09,3.21567346e+01,0.840,0.150,sky130
3.25000000e-09,1.04387806e-07,3.25000000e-09,3.24963102e-09,3.25000000e-09,3.10053469e-16,3.25000000e-09,-7.99003274e-17,3.25000000e-09,6.40185232e-19,3.25000000e-09,4.57665593e-17,3.25000000e-09,6.85130159e-17,3.25000000e-09,-3.26950966e-19,3.25000000e-09,6.36127917e-09,3.25000000e-09,7.48732177e-01,3.25000000e-09,3.54982059e-02,3.25000000e-09,4.44469372e-01,3.25000000e-09,4.44469371e-01,3.25000000e-09,1.57201087e+08,3.25000000e-09,3.36676787e+08,3.25000000e-09,5.35837748e+07,3.25000000e-09,3.21229718e+01,0.840,0.150,sky130
3.50000000e-09,1.12305044e-07,3.50000000e-09,3.49961196e-09,3.50000000e-09,3.11171854e-16,3.50000000e-09,-8.14292644e-17,3.50000000e-09,6.47840454e-19,3.50000000e-09,4.65742380e-17,3.50000000e-09,6.97229697e-17,3.50000000e-09,-3.30477826e-19,3.50000000e-09,6.81792609e-09,3.50000000e-09,7.48732125e-01,3.50000000e-09,3.54992510e-02,3.50000000e-09,4.46645271e-01,3.50000000e-09,4.46645270e-01,3.50000000e-09,1.46672168e+08,3.50000000e-09,3.60910033e+08,3.50000000e-09,5.74406158e+07,3.50000000e-09,3.20907133e+01,0.840,0.150,sky130
3.75000000e-09,1.20211314e-07,3.75000000e-09,3.74959767e-09,3.75000000e-09,3.12233025e-16,3.75000000e-09,-8.28755854e-17,3.75000000e-09,6.54985587e-19,3.75000000e-09,4.73369081e-17,3.75000000e-09,7.08655076e-17,3.75000000e-09,-3.33755815e-19,3.75000000e-09,7.27247258e-09,3.75000000e-09,7.48732077e-01,3.75000000e-09,3.55002925e-02,3.75000000e-09,4.48673434e-01,3.75000000e-09,4.48673433e-01,3.75000000e-09,1.37504815e+08,3.75000000e-09,3.85005123e+08,3.75000000e-09,6.12754684e+07,3.75000000e-09,3.20597901e+01,0.840,0.150,sky130
4.00000000e-09,1.28106996e-07,4.00000000e-09,3.99958622e-09,4.00000000e-09,3.13243280e-16,4.00000000e-09,-8.42487014e-17,4.00000000e-09,6.61683493e-19,4.00000000e-09,4.80597714e-17,4.00000000e-09,7.19484205e-17,4.00000000e-09,-3.36816360e-19,4.00000000e-09,7.72506374e-09,4.00000000e-09,7.48732031e-01,4.00000000e-09,3.55013306e-02,4.00000000e-09,4.50572829e-01,4.00000000e-09,4.50572828e-01,4.00000000e-09,1.29448770e+08,4.00000000e-09,4.08969655e+08,4.00000000e-09,6.50895421e+07,4.00000000e-09,3.20300624e+01,0.840,0.150,sky130
4.25000000e-09,1.35992493e-07,4.25000000e-09,4.24957783e-09,4.25000000e-09,3.14207893e-16,4.25000000e-09,-8.55564559e-17,4.25000000e-09,6.67986052e-19,4.25000000e-09,4.87471548e-17,4.25000000e-09,7.29781890e-17,4.25000000e-09,-3.39685313e-19,4.25000000e-09,8.17582949e-09,4.25000000e-09,7.48731988e-01,4.25000000e-09,3.55023654e-02,4.25000000e-09,4.52358996e-01,4.25000000e-09,4.52358995e-01,4.25000000e-09,1.22311748e+08,4.25000000e-09,4.32810558e+08,4.25000000e-09,6.88839397e+07,4.25000000e-09,3.20014125e+01,0.840,0.150,sky130
4.50000000e-09,1.43868126e-07,4.50000000e-09,4.49957126e-09,4.50000000e-09,3.15131320e-16,4.50000000e-09,-8.68054448e-17,4.50000000e-09,6.73936522e-19,4.50000000e-09,4.94026911e-17,4.50000000e-09,7.39602542e-17,4.50000000e-09,-3.42384164e-19,4.50000000e-09,8.62488138e-09,4.50000000e-09,7.48731948e-01,4.50000000e-09,3.55033973e-02,4.50000000e-09,4.54044807e-01,4.50000000e-09,4.54044806e-01,4.50000000e-09,1.15943624e+08,4.50000000e-09,4.56533885e+08,4.50000000e-09,7.26596245e+07,4.50000000e-09,3.19737409e+01,0.840,0.150,sky130
4.75000000e-09,1.51734206e-07,4.75000000e-09,4.74956603e-09,4.75000000e-09,3.16017371e-16,4.75000000e-09,-8.80012816e-17,4.75000000e-09,6.79571397e-19,4.75000000e-09,5.00294666e-17,4.75000000e-09,7.48992388e-17,4.75000000e-09,-3.44930993e-19,4.75000000e-09,9.07231937e-09,4.75000000e-09,7.48731910e-01,4.75000000e-09,3.55044264e-02,4.75000000e-09,4.55641056e-01,4.75000000e-09,4.55641055e-01,4.75000000e-09,1.10225397e+08,4.75000000e-09,4.80145145e+08,4.75000000e-09,7.64174732e+07,4.75000000e-09,3.19469622e+01,0.840,0.150,sky130
